TRACK_ID,POSITION_X,POSITION_Y,POSITION_T
530,256.86,759.837,57
530,256.265,760.262,58
530,256.881,759.686,59
530,257.617,759.129,60
530,258.477,759.195,61
530,257.61,758.701,62
530,257.497,758.563,63
530,258.086,758.619,64
530,258.84,759.161,65
530,258.778,758.945,66
530,258.652,758.116,67
530,258.891,757.909,68
530,259.24,758,69
530,258.999,757.987,70
530,259.144,757.558,71
530,259.531,757.588,72
530,260.003,757.468,73
530,259.6,757.204,74
530,259.387,757.497,75
530,259.617,757.569,76
530,258.992,757.069,77
530,258.81,757.378,78
530,258.43,756.981,79
530,258.411,757.432,80
530,258.703,757.727,81
530,259.065,757.574,82
530,260.391,757.874,83
530,260.919,757.456,84
530,260.177,757.664,85
530,259.573,757.986,86
530,260.066,757.76,87
530,260.259,758.075,88
530,260.873,758.408,89
530,261.501,757.922,90
530,261.937,757.723,91
530,262.389,757.951,92
530,262.639,758.501,93
530,262.575,759.021,94
530,262.573,758.66,95
530,262.46,758.372,96
530,262.575,758.525,97
530,262.877,759.062,98
530,263.103,759.28,99
530,263.34,759.656,100
530,263.86,759.751,101
530,263.739,759.562,102
530,263.44,759.635,103
530,263.704,759.742,104
530,263.71,759.8,105
530,264.387,760.069,106
530,264.402,760.077,107
530,264.62,759.916,108
530,264.728,759.988,109
530,264.88,759.811,110
530,264.459,759.752,111
530,264.589,759.649,112
530,264.373,759.418,113
530,264.575,759.835,114
530,264.668,760.095,115
530,264.736,760.759,116
530,265.121,760.778,117
530,266.257,760.58,118
530,267.086,760.347,119
530,268.275,761.249,120
530,268.388,761.437,121
530,268.632,761.042,122
530,268.935,760.678,123
530,269.869,760.812,124
530,270.28,761.269,125
530,270.439,762.285,126
530,270.425,762.606,127
530,271.244,763.356,128
530,272.406,764.403,129
530,273.056,765.455,130
531,236.891,764.937,0
531,236.891,764.937,1
531,239.044,764.115,2
531,239.103,764.364,3
531,240.242,763.569,4
531,238.198,764.196,5
531,239.181,764.2,6
531,240.164,763.889,7
531,240.707,763.709,8
531,239.596,763.754,9
531,238.07,763.722,10
531,237.386,763.434,11
531,236.157,763.795,12
531,235.221,763.6,13
531,233.963,763.844,14
531,234.104,765.029,15
531,235.594,765.256,16
531,235.756,765.555,17
531,235.702,765.062,18
531,235.895,764.761,19
531,236.339,763.925,20
531,236.461,764.884,21
531,235.295,764.446,22
531,234.63,765.026,23
531,233.86,764.262,24
531,233.363,763.239,25
531,233.018,763.092,26
531,233.582,762.9,27
531,233.292,763.128,28
531,232.686,763.691,29
531,232.663,763.677,30
531,233.485,762.768,31
531,233.451,763.204,32
531,233.883,763.783,33
531,233.985,763.977,34
531,234.415,762.82,35
531,235.124,762.258,36
531,238.603,764.066,37
531,238.799,764.072,38
531,240.117,763.551,39
531,239.293,764.429,40
531,240.152,764.64,41
531,241.173,764.514,42
531,241.135,763.724,43
531,241.681,763.956,44
531,241.574,763.68,45
531,241.606,763.63,46
531,242.273,763.602,47
531,244.193,764.339,48
531,244.769,764.787,49
531,245.806,764.775,50
531,245.253,764.043,51
531,244.979,764.295,52
531,246.011,764.562,53
531,245.079,764.754,54
531,243.491,764.449,55
531,242.106,764.635,56
531,240.545,765.225,57
531,239.881,766.306,58
531,239.792,765.762,59
531,240.425,766.541,60
531,241.193,767.4,61
531,239.94,766.785,62
531,240.329,766.131,63
531,240.531,765.666,64
531,240.207,765.367,65
531,240.365,764.765,66
531,240.265,765.558,67
531,240.473,764.675,68
531,240.559,763.846,69
531,238.666,759.419,70
531,240.027,762.885,71
531,240.49,763.138,72
531,241.107,763.409,73
531,240.015,766.145,74
531,238.74,764.459,75
531,238.443,763.657,76
531,237.4,763.432,77
531,237.113,763.897,78
531,237.038,763.129,79
531,237.295,763.396,80
531,237.564,764.358,81
531,237.564,763.766,82
531,238.454,763.829,83
531,238.879,762.557,84
531,238.052,762.916,85
531,236.782,763.003,86
531,236.218,762.716,87
531,236.231,762.367,88
531,236.73,762.031,89
531,237.268,761.971,90
531,237.827,761.808,91
531,237.736,761.634,92
531,237.149,762.16,93
531,236.535,761.802,94
531,235.278,761.001,95
531,235.412,760.796,96
531,236.753,761.671,97
531,237.488,762.052,98
531,237.075,763.118,99
531,237.738,762.442,100
531,238.245,762.909,101
531,237.854,762.655,102
531,237.605,762.521,103
531,237.823,762.836,104
531,238.193,761.811,105
531,239.116,762.256,106
531,239.246,762.285,107
531,239.11,762.165,108
531,239.218,763.056,109
531,239.399,762.994,110
531,239.411,762.862,111
531,239.751,762.723,112
531,239.388,762.961,113
531,244.113,767.418,114
531,237.243,762.205,115
531,236.638,762.091,116
531,236.696,762.399,117
531,238.961,762.859,118
531,239.363,762.045,119
531,240.602,763.381,120
531,240.476,762.937,121
531,240.732,762.692,122
531,241.237,762.614,123
531,242.579,763.869,124
531,242.791,763.931,125
531,242.903,764.689,126
531,243.167,765.394,127
531,244.551,766.063,128
531,246.101,766.967,129
531,246.112,768.397,130
533,137.701,759.217,0
533,137.704,759.178,1
533,137.728,758.857,2
533,137.876,758.468,3
533,137.303,758.922,4
533,136.663,759.219,5
533,137.009,759.276,6
533,137.241,758.877,7
533,137.194,758.747,8
533,136.781,758.762,9
533,137.152,759.02,10
533,137.954,759.044,11
533,138.442,759.21,12
533,138.093,758.963,13
533,137.327,758.921,14
533,137.261,759.147,15
533,137.855,759.292,16
533,137.616,759.296,17
533,137.632,759.22,18
533,137.778,759.246,19
533,137.761,758.622,20
533,137.466,759.129,21
533,137.064,758.678,22
533,136.622,759.359,23
533,136.181,758.194,24
533,135.694,757.451,25
533,135.384,757.967,26
533,136.01,757.167,27
533,135.569,757.755,28
533,135.111,757.598,29
533,135.366,757.384,30
533,136.197,756.811,31
533,136.412,756.124,32
533,136.33,756.589,33
533,136.416,756.739,34
533,137.064,756.603,35
533,137.597,756.592,36
533,141.079,755.372,37
533,141.505,755.131,38
533,142.21,755.092,39
533,141.526,755.451,40
533,141.149,755.618,41
533,141.425,755.829,42
533,141.416,755.645,43
533,142.206,756.013,44
533,142.386,755.53,45
533,141.89,755.88,46
533,142.346,755.692,47
533,143.409,755.628,48
533,143.979,755.542,49
533,145.241,756.15,50
533,144.343,755.628,51
533,144.245,755.841,52
533,145.427,755.697,53
533,144.818,755.604,54
533,143.744,755.499,55
533,142.813,755.472,56
533,142.134,755.422,57
533,141.593,755.924,58
533,142.2,755.513,59
533,143.096,755.666,60
533,143.483,755.74,61
533,142.93,755.122,62
533,142.755,755.273,63
533,143.425,755.275,64
533,143.734,755.17,65
533,143.919,755.15,66
533,144.121,755.033,67
533,144.415,754.984,68
533,144.422,754.576,69
533,144.406,754.573,70
533,144.329,754.892,71
533,144.231,754.531,72
533,144.289,754.522,73
533,144.212,754.322,74
533,144.218,754.11,75
533,144.316,754.333,76
533,143.917,754.44,77
533,143.941,754.842,78
533,143.55,755.014,79
533,142.979,755.05,80
533,143.488,755.458,81
533,143.471,754.56,82
533,145.316,754.117,83
533,145.555,753.596,84
533,144.959,753.925,85
533,144.601,754.249,86
533,145.49,753.996,87
533,145.535,753.936,88
533,146.041,753.821,89
533,146.423,753.685,90
533,147.03,753.986,91
533,147.767,754.14,92
533,147.628,754.614,93
533,147.572,754.75,94
533,147.629,754.793,95
533,147.628,754.51,96
533,148.121,754.767,97
533,148.358,754.922,98
533,148.411,755.009,99
533,148.639,755.52,100
533,149.249,755.855,101
533,149.119,755.553,102
533,149.117,755.607,103
533,149.218,755.907,104
533,149.612,755.784,105
533,149.998,755.988,106
533,150.267,756.085,107
533,149.663,755.438,108
533,149.437,755.164,109
533,149.765,755.605,110
533,149.579,756.319,111
533,150.245,755.707,112
533,149.681,755.46,113
533,150.234,755.637,114
533,150.481,756.232,115
533,150.506,757.245,116
533,150.77,757.197,117
533,151.998,756.729,118
533,152.835,756.783,119
533,153.701,756.781,120
533,154.051,757.048,121
533,154.743,757.048,122
533,155.394,757.346,123
533,155.892,757.994,124
533,156.243,757.895,125
533,156.682,758.516,126
533,156.663,758.938,127
533,157.415,760.011,128
533,158.824,760.865,129
533,159.392,761.946,130
534,411.356,759.027,0
534,411.356,759.027,1
534,411.336,758.986,2
534,411.532,758.703,3
534,411.536,758.712,4
534,410.756,758.94,5
534,410.807,758.773,6
534,410.95,758.037,7
534,411.166,758.124,8
534,410.84,758.236,9
534,411.037,758.695,10
534,411.507,758.65,11
534,412.088,758.844,12
534,411.634,758.563,13
534,411.332,758.386,14
534,411.278,758.79,15
534,411.266,759.017,16
534,411.269,758.778,17
